id,city,state,zipcode,property_type,bathrooms,bedrooms,beds,bed_type,cleaning_fee,guests_included,extra_people,review_scores_rating,cancellation_policy
38585,Asheville,NC,28804,House,1,1,2,Real Bed,$0.00 ,1,$20.00 ,96,moderate
80905,Asheville,NC,28801,Loft,2,3,6,Real Bed,$0.00 ,2,$25.00 ,95,super_strict_60
80965,Asheville,NC,28801,House,1,2,2,Real Bed,$75.00 ,2,$25.00 ,,strict_14_with_grace_period
108061,Asheville,NC,28801,Apartment,1,1,1,Real Bed,$0.00 ,2,$0.00 ,90,strict_14_with_grace_period
108396,Asheville,NC,28801,House,2.5,1,3,Real Bed,$75.00 ,1,$15.00 ,100,strict_14_with_grace_period
155305,Asheville,NC,28806,Guesthouse,1,1,1,Real Bed,$15.00 ,2,$12.00 ,88,moderate
156805,Asheville,NC,28806,House,2.5,1,1,Real Bed,,2,$12.00 ,88,moderate
156926,Asheville,NC,28806,House,2.5,1,1,Real Bed,$0.00 ,1,$26.00 ,93,moderate
160594,Asheville,NC,28801,House,1,1,1,Real Bed,$30.00 ,1,$50.00 ,99,moderate
209068,Asheville,NC,28804,Guest suite,1,1,2,Real Bed,$45.00 ,2,$10.00 ,98,strict_14_with_grace_period
213006,Asheville,NC,28806,Bungalow,1,2,2,Real Bed,$25.00 ,1,$18.00 ,97,strict_14_with_grace_period
246315,Asheville,NC,28805,Cabin,1,1,1,Real Bed,$65.00 ,1,$15.00 ,94,strict_14_with_grace_period
259576,Asheville,NC,28805,Apartment,1,1,1,Real Bed,$25.00 ,2,$10.00 ,98,moderate
273534,Asheville,NC,28803,Apartment,1.5,1,1,Real Bed,$40.00 ,1,$0.00 ,99,strict_14_with_grace_period
284690,Asheville,NC,28806,Guest suite,1,1,2,Real Bed,$50.00 ,1,$0.00 ,91,moderate
291937,Asheville,NC,28801,Apartment,1,1,1,Real Bed,$50.00 ,1,$0.00 ,100,strict_14_with_grace_period
295496,Asheville,NC,28803,Apartment,1,1,1,Real Bed,$50.00 ,1,$0.00 ,93,strict_14_with_grace_period
304379,Asheville,NC,28804,Guesthouse,1,2,2,Pull-out Sofa,$89.00 ,4,$50.00 ,98,moderate
326772,Asheville,NC,28803,House,1,1,2,Real Bed,$50.00 ,2,$10.00 ,99,strict_14_with_grace_period
353092,Asheville,NC,28806,Guest suite,1,1,2,Real Bed,$35.00 ,2,$15.00 ,97,moderate
427497,Asheville,NC,28803,Guest suite,1,1,1,Real Bed,$50.00 ,1,$0.00 ,99,moderate
433646,Asheville,NC,28801,House,1.5,1,1,Real Bed,$25.00 ,2,$25.00 ,94,strict_14_with_grace_period
436476,Asheville,NC,28801,Guest suite,1.5,1,1,Real Bed,$50.00 ,2,$0.00 ,98,strict_14_with_grace_period
483384,Asheville,NC,28806,Cottage,2,1,0,Real Bed,$20.00 ,2,$20.00 ,99,moderate
495111,Asheville,NC,28801,House,1,1,1,Real Bed,$25.00 ,2,$20.00 ,98,strict_14_with_grace_period
498089,Asheville,NC,28801,Apartment,1,1,1,Real Bed,$60.00 ,2,$0.00 ,95,strict_14_with_grace_period
563189,Asheville,NC,28803,House,1,1,1,Real Bed,$20.00 ,1,$0.00 ,93,moderate
612660,Asheville,NC,28806,Bungalow,2,2,2,Real Bed,$150.00 ,2,$5.00 ,97,strict_14_with_grace_period
621243,Asheville,NC,28801,Apartment,1,1,1,Real Bed,$55.00 ,2,$0.00 ,99,strict_14_with_grace_period
634319,Asheville,NC,28805,Apartment,1.5,2,2,Real Bed,$0.00 ,4,$23.00 ,99,strict_14_with_grace_period
638349,Asheville,NC,28806,House,1,2,2,Real Bed,$100.00 ,2,$10.00 ,91,strict_14_with_grace_period
653777,Asheville,NC,28803,House,1,1,1,Real Bed,$20.00 ,1,$0.00 ,96,moderate
660702,Asheville,NC,28804,House,1,1,1,Real Bed,$20.00 ,2,$30.00 ,91,moderate
674894,Asheville,NC,28805,House,1,1,1,Real Bed,$20.00 ,2,$0.00 ,92,moderate
677692,Asheville,NC,28801,Apartment,1,1,1,Real Bed,$75.00 ,1,$0.00 ,95,strict_14_with_grace_period
695196,Asheville,NC,28801,House,1,1,1,Real Bed,$15.00 ,1,$10.00 ,92,moderate
706115,Asheville,NC,28801,House,2,2,2,Real Bed,,1,$0.00 ,94,flexible
720609,Asheville,NC,28801,Loft,1,1,4,Real Bed,$0.00 ,2,$25.00 ,96,super_strict_60
723349,Asheville,NC,28801,Bed and breakfast,1,1,2,Real Bed,$0.00 ,2,$18.00 ,80,strict_14_with_grace_period
751963,Asheville,NC,28806,House,2.5,2,4,Real Bed,$75.00 ,2,$35.00 ,97,moderate
840696,Asheville,NC,28801,House,2,2,2,Real Bed,$120.00 ,2,$25.00 ,100,strict_14_with_grace_period
846221,Asheville,NC,28804,House,1.5,3,4,Real Bed,$27.00 ,1,$0.00 ,94,strict_14_with_grace_period
875735,Asheville,NC,28805,House,1,1,1,Real Bed,,1,$0.00 ,89,flexible
881707,Asheville,NC,28806,Guest suite,1,1,1,Real Bed,$20.00 ,1,$0.00 ,97,strict_14_with_grace_period
942934,Asheville,NC,28806,House,1,1,1,Real Bed,$20.00 ,1,$10.00 ,98,strict_14_with_grace_period
943832,Asheville,NC,,House,2,2,2,Real Bed,$150.00 ,4,$25.00 ,93,strict_14_with_grace_period
971003,Asheville,NC,28801,House,1,1,1,Real Bed,$20.00 ,1,$0.00 ,98,strict_14_with_grace_period
976034,Asheville,NC,28803,Apartment,1,1,1,Real Bed,,1,$10.00 ,99,strict_14_with_grace_period
977054,Asheville,NC,28804,Guesthouse,1,1,1,Real Bed,$95.00 ,2,$0.00 ,99,strict_14_with_grace_period
990426,Asheville,NC,28801,Loft,1,2,3,Real Bed,$0.00 ,2,$25.00 ,96,super_strict_60
992821,Candler,NC,28715,House,1,2,3,Real Bed,$60.00 ,4,$10.00 ,98,moderate
1039028,Asheville,NC,28803,Tiny house,1.5,1,2,Real Bed,$20.00 ,2,$5.00 ,100,moderate
1054757,Asheville,NC,28801,Bungalow,1,1,1,Real Bed,$20.00 ,1,$10.00 ,98,flexible
1066156,Asheville,NC,28804,Guesthouse,1,1,2,Real Bed,$60.00 ,2,$20.00 ,100,strict_14_with_grace_period
